day,race,start,event_id,event_name,event_code,seats,alpha,lane,heat,distance,school,crew,cox,coach
1,1,2021-10-23T09:30:00+00:00,1,Under 17 Men's Coxed Quad Scull,U17 M 4X+,4,A,2,,1500,Sandy Bay,Nicholas Otahal,[],[]
1,1,2021-10-23T09:30:00+00:00,1,Under 17 Men's Coxed Quad Scull,U17 M 4X+,4,A,3,,1500,St Virgils,Hamish Paynter,[],[]
1,1,2021-10-23T09:30:00+00:00,1,Under 17 Men's Coxed Quad Scull,U17 M 4X+,4,A,4,,1500,TUBC,Thomas Marr,[],[]
1,2,2021-10-23T09:40:00+00:00,2,U21 Women's 8+,U21 W 8+,8,B,2,,2000,Friends,Bridie Woolley,[],[]
1,2,2021-10-23T09:40:00+00:00,2,U21 Women's 8+,U21 W 8+,8,B,3,,2000,Bucks,Phoebe Davis,[],[]
1,2,2021-10-23T09:40:00+00:00,2,U21 Women's 8+,U21 W 8+,8,B,4,,2000,DMCRC,Aida McCoid,[],[]
1,2,2021-10-23T09:40:00+00:00,2,U21 Women's 8+,U21 W 8+,8,B,5,,2000,TUBC,Daisy Maning,[],[]
1,3,2021-10-23T09:46:00+00:00,3,Senior Men's Single Scull,S M 1X,1,C,1,D1,2000,Bucks,Joseph Wilson,[],[]
1,3,2021-10-23T09:46:00+00:00,3,Senior Men's Single Scull,S M 1X,1,C,2,D1,2000,North Esk,Connor Ryan,[],[]
1,3,2021-10-23T09:46:00+00:00,3,Senior Men's Single Scull,S M 1X,1,C,3,D1,2000,Tamar,Henry Youl,[],[]
1,3,2021-10-23T09:46:00+00:00,3,Senior Men's Single Scull,S M 1X,1,C,4,D1,2000,Bucks,Alec Paterson,[],[]
1,3,2021-10-23T09:46:00+00:00,3,Senior Men's Single Scull,S M 1X,1,C,5,D1,2000,TUBC,Angus Paynter,[],[]
1,3,2021-10-23T09:46:00+00:00,3,Senior Men's Single Scull,S M 1X,1,C,6,D1,2000,TUBC,Harry Bevan,[],[]
1,4,2021-10-23T09:52:00+00:00,3,Senior Men's Single Scull,S M 1X,1,D,2,D2,2000,TUBC,Sam Casey,[],[]
1,4,2021-10-23T09:52:00+00:00,3,Senior Men's Single Scull,S M 1X,1,D,3,D2,2000,TUBC,Samuel Mounter,[],[]
1,4,2021-10-23T09:52:00+00:00,3,Senior Men's Single Scull,S M 1X,1,D,4,D2,2000,North Esk,Jack Barrett,[],[]
1,4,2021-10-23T09:52:00+00:00,3,Senior Men's Single Scull,S M 1X,1,D,5,D2,2000,Tamar,William Birchmore,[],[]
1,4,2021-10-23T09:52:00+00:00,3,Senior Men's Single Scull,S M 1X,1,D,6,D2,2000,TUBC,James Cocker,[],[]
1,5,2021-10-23T09:58:00+00:00,3,Senior Men's Single Scull,S M 1X,1,E,1,D3,2000,TUBC,Michael Taylor,[],[]
1,5,2021-10-23T09:58:00+00:00,3,Senior Men's Single Scull,S M 1X,1,E,2,D3,2000,Ulverstone,Michael Wilson,[],[]
1,5,2021-10-23T09:58:00+00:00,3,Senior Men's Single Scull,S M 1X,1,E,3,D3,2000,Tamar,Matthew Wyton,[],[]
1,5,2021-10-23T09:58:00+00:00,3,Senior Men's Single Scull,S M 1X,1,E,4,D3,2000,North Esk,Rohan Fenner,[],[]
1,5,2021-10-23T09:58:00+00:00,3,Senior Men's Single Scull,S M 1X,1,E,5,D3,2000,Sandy Bay,Dave Fisher,[],[]
1,5,2021-10-23T09:58:00+00:00,3,Senior Men's Single Scull,S M 1X,1,E,6,D3,2000,North Esk,Robert Wrigley,[],[]
1,6,2021-10-23T10:04:00+00:00,3,Senior Men's Single Scull,S M 1X,1,F,1,D4,2000,North Esk,Jesse Hall,[],[]
1,6,2021-10-23T10:04:00+00:00,3,Senior Men's Single Scull,S M 1X,1,F,2,D4,2000,North Esk,Bentley Fitzgerald,[],[]
1,6,2021-10-23T10:04:00+00:00,3,Senior Men's Single Scull,S M 1X,1,F,3,D4,2000,Ulverstone,Andrew Streeter,[],[]
1,6,2021-10-23T10:04:00+00:00,3,Senior Men's Single Scull,S M 1X,1,F,4,D4,2000,Sandy Bay,James Pirie,[],[]
1,6,2021-10-23T10:04:00+00:00,3,Senior Men's Single Scull,S M 1X,1,F,5,D4,2000,Tamar,Thomas Bates,[],[]
1,7,2021-10-23T10:10:00+00:00,4,Under 19 Men's Coxed Four,U19 M 4+,4,G,2,,2000,New Norfolk,Oliver Coulson,[],[]
1,7,2021-10-23T10:10:00+00:00,4,Under 19 Men's Coxed Four,U19 M 4+,4,G,3,,2000,Friends,Calum Johnson,[],[]
1,7,2021-10-23T10:10:00+00:00,4,Under 19 Men's Coxed Four,U19 M 4+,4,G,4,,2000,Friends,Charlie Mitchell,[],[]
1,8,2021-10-23T10:16:00+00:00,5,Senior Women's Single Scull,S W 1X,1,H,1,D1,2000,North Esk,Lili Wrigley,[],[]
1,8,2021-10-23T10:16:00+00:00,5,Senior Women's Single Scull,S W 1X,1,H,2,D1,2000,Huon,Kate Hall,[],[]
1,8,2021-10-23T10:16:00+00:00,5,Senior Women's Single Scull,S W 1X,1,H,3,D1,2000,Huon,Eve Mure,[],[]
1,8,2021-10-23T10:16:00+00:00,5,Senior Women's Single Scull,S W 1X,1,H,4,D1,2000,North Esk,Sarah Ashlin,[],[]
1,8,2021-10-23T10:16:00+00:00,5,Senior Women's Single Scull,S W 1X,1,H,5,D1,2000,North Esk,Abbey Boutcher,[],[]
1,8,2021-10-23T10:16:00+00:00,5,Senior Women's Single Scull,S W 1X,1,H,6,D1,2000,TUBC,Sophie Robinson,[],[]
1,9,2021-10-23T10:22:00+00:00,5,Senior Women's Single Scull,S W 1X,1,I,1,D2,2000,Mersey,Ella Marshall,[],[]
1,9,2021-10-23T10:22:00+00:00,5,Senior Women's Single Scull,S W 1X,1,I,2,D2,2000,New Norfolk,Molly McCausland,[],[]
1,9,2021-10-23T10:22:00+00:00,5,Senior Women's Single Scull,S W 1X,1,I,3,D2,2000,TUBC,Amy Bain,[],[]
1,9,2021-10-23T10:22:00+00:00,5,Senior Women's Single Scull,S W 1X,1,I,4,D2,2000,North Esk,J.Malisauskas,[],[]
1,9,2021-10-23T10:22:00+00:00,5,Senior Women's Single Scull,S W 1X,1,I,5,D2,2000,North Esk,Lindsay Calvert,[],[]
1,9,2021-10-23T10:22:00+00:00,5,Senior Women's Single Scull,S W 1X,1,I,6,D2,2000,TUBC,Kate Oliver,[],[]
1,10,2021-10-23T10:28:00+00:00,5,Senior Women's Single Scull,S W 1X,1,J,1,D3,2000,TUBC,Anna Blackwell,[],[]
1,10,2021-10-23T10:28:00+00:00,5,Senior Women's Single Scull,S W 1X,1,J,2,D3,2000,Bucks,Courtney Blyth,[],[]
1,10,2021-10-23T10:28:00+00:00,5,Senior Women's Single Scull,S W 1X,1,J,3,D3,2000,North Esk,Portia Cook,[],[]
1,10,2021-10-23T10:28:00+00:00,5,Senior Women's Single Scull,S W 1X,1,J,4,D3,2000,Bucks,Isabelle Higgins,[],[]
1,10,2021-10-23T10:28:00+00:00,5,Senior Women's Single Scull,S W 1X,1,J,5,D3,2000,North Esk,Sabrina Sonda,[],[]
1,10,2021-10-23T10:28:00+00:00,5,Senior Women's Single Scull,S W 1X,1,J,6,D3,2000,Mersey,Olivia Yeates,[],[]
1,11,2021-10-23T10:34:00+00:00,5,Senior Women's Single Scull,S W 1X,1,K,1,D4,2000,Ulverstone,Zoe Campbell,[],[]
1,11,2021-10-23T10:34:00+00:00,5,Senior Women's Single Scull,S W 1X,1,K,2,D4,2000,TUBC,1 Ella Jones,[],[]
1,11,2021-10-23T10:34:00+00:00,5,Senior Women's Single Scull,S W 1X,1,K,3,D4,2000,Sandy Bay,Amanda Jackson,[],[]
1,11,2021-10-23T10:34:00+00:00,5,Senior Women's Single Scull,S W 1X,1,K,4,D4,2000,TUBC,Ella Triffett,[],[]
1,11,2021-10-23T10:34:00+00:00,5,Senior Women's Single Scull,S W 1X,1,K,5,D4,2000,Ulverstone,Abby Pratt,[],[]
1,12,2021-10-23T10:40:00+00:00,6,Under 19 Women's Pair,U19 W 2-,2,L,2,D1,2000,Friends,"Powell-Davies,Natio",[],[]
1,12,2021-10-23T10:40:00+00:00,6,Under 19 Women's Pair,U19 W 2-,2,L,3,D1,2000,Mersey,"Spaulding,Greenhill",[],[]
1,12,2021-10-23T10:40:00+00:00,6,Under 19 Women's Pair,U19 W 2-,2,L,4,D1,2000,DMCRC,"E.Bird,H.Curry",[],[]
1,12,2021-10-23T10:40:00+00:00,6,Under 19 Women's Pair,U19 W 2-,2,L,5,D1,2000,Mersey,"M.Castles,S.Grave",[],[]
1,13,2021-10-23T10:46:00+00:00,6,Under 19 Women's Pair,U19 W 2-,2,M,2,D2,2000,TFNDS/BRC,"White,Underwood",[],[]
1,13,2021-10-23T10:46:00+00:00,6,Under 19 Women's Pair,U19 W 2-,2,M,3,D2,2000,New Norfolk,"C.Wright,S.North",[],[]
1,13,2021-10-23T10:46:00+00:00,6,Under 19 Women's Pair,U19 W 2-,2,M,4,D2,2000,New Norfolk,"R.Morgan,L.Morgan",[],[]
1,14,2021-10-23T10:52:00+00:00,7,Under 21 Men's Single Scull,U21 M 1X,1,N,2,D1,2000,Huon,Patrick Robbie,[],[]
1,14,2021-10-23T10:52:00+00:00,7,Under 21 Men's Single Scull,U21 M 1X,1,N,3,D1,2000,North Esk,Laurie Dean,[],[]
1,14,2021-10-23T10:52:00+00:00,7,Under 21 Men's Single Scull,U21 M 1X,1,N,4,D1,2000,North Esk,Roo Colley,[],[]
1,14,2021-10-23T10:52:00+00:00,7,Under 21 Men's Single Scull,U21 M 1X,1,N,5,D1,2000,Huon,Julian Wynter,[],[]
1,15,2021-10-23T10:58:00+00:00,7,Under 21 Men's Single Scull,U21 M 1X,1,O,2,D2,2000,New Norfolk,Patrick Loring,[],[]
1,15,2021-10-23T10:58:00+00:00,7,Under 21 Men's Single Scull,U21 M 1X,1,O,3,D2,2000,North Esk,Karl Breier,[],[]
1,15,2021-10-23T10:58:00+00:00,7,Under 21 Men's Single Scull,U21 M 1X,1,O,4,D2,2000,New Norfolk,Nicholas Stozki,[],[]
1,16,2021-10-23T11:04:00+00:00,8,Senior Men's Pair,S M 2-,2,P,3,,2000,Bucks,"J.Crow,J.Connolly",[],[]
1,16,2021-10-23T11:04:00+00:00,8,Senior Men's Pair,S M 2-,2,P,4,,2000,New Norfolk,"T.Morgan,A.Midson",[],[]
1,17,2021-10-23T11:14:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,Q,1,D1,1500,DMCRC,"Bridgeman,Kingston",[],[]
1,17,2021-10-23T11:14:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,Q,2,D1,1500,Bucks,"E.Ralph,H.Teale",[],[]
1,17,2021-10-23T11:14:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,Q,3,D1,1500,Kentish,"L.Barker,I.Ritter",[],[]
1,17,2021-10-23T11:14:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,Q,4,D1,1500,DMCRC,"M.Healy,G.Witt",[],[]
1,17,2021-10-23T11:14:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,Q,5,D1,1500,Kentish,"Behrmann,Welch",[],[]
1,17,2021-10-23T11:14:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,Q,6,D1,1500,Sandy Bay,"L.Balfour,K.Steele",[],[]
1,18,2021-10-23T11:19:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,R,2,D2,1500,DMCRC,"Cummings,Elrick",[],[]
1,18,2021-10-23T11:19:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,R,3,D2,1500,Mersey,"L.Doonan,S.Ellis",[],[]
1,18,2021-10-23T11:19:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,R,4,D2,1500,DMCRC,"Parsons,Leicester",[],[]
1,18,2021-10-23T11:19:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,R,5,D2,1500,TUBC,"O.Walter,M.Cocker",[],[]
1,19,2021-10-23T11:24:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,S,2,D3,1500,New Norfolk,"C.Fenton,S.Midgley",[],[]
1,19,2021-10-23T11:24:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,S,3,D3,1500,Mersey,"Phyland,Spaulding",[],[]
1,19,2021-10-23T11:24:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,S,4,D3,1500,Sandy Bay,"A.Acuna,K.Tinch",[],[]
1,19,2021-10-23T11:24:00+00:00,9,Under 17 Women's Double Scull,U17 W 2X,2,S,5,D3,1500,Sandy Bay,"M.Casey,L.Nesbitt",[],[]
1,20,2021-10-23T11:34:00+00:00,10,Mens/Womens Eight,M/W 8+,8,T,2,,1000,Lindisfarne Comp.,Jillian Johnstone,[],[]
1,20,2021-10-23T11:34:00+00:00,10,Mens/Womens Eight,M/W 8+,8,T,3,,1000,TUBC,Elizabeth Carter,[],[]
1,21,2021-10-23T12:25:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,U,1,D1,1000,North Esk,"R.Wrigley,S.Sonda",[],[]
1,21,2021-10-23T12:25:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,U,2,D1,1000,URC/LINDF,"Johnstone,Wilson",[],[]
1,21,2021-10-23T12:25:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,U,3,D1,1000,Sandy Bay,"P.Brodribb,D.Fisher",[],[]
1,21,2021-10-23T12:25:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,U,4,D1,1000,Sandy Bay,"S.Birch,P.Walker",[],[]
1,21,2021-10-23T12:25:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,U,5,D1,1000,Bucks,"Driessen,Minnucci",[],[]
1,21,2021-10-23T12:25:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,U,6,D1,1000,Ulverstone,"Schultz,Streeter",[],[]
1,22,2021-10-23T12:30:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,V,1,D2,1000,DMCRC,"Stephens,Sluce",[],[]
1,22,2021-10-23T12:30:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,V,2,D2,1000,Bucks,"M.Mace,S.Himson",[],[]
1,22,2021-10-23T12:30:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,V,3,D2,1000,Sandy Bay,"A.Jackson,J.Pirie",[],[]
1,22,2021-10-23T12:30:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,V,4,D2,1000,DMCRC,"R.Griffiths,A.Jones",[],[]
1,22,2021-10-23T12:30:00+00:00,12,Master's Mixed Double Scull,M  Mixed 2X,2,V,5,D2,1000,Bucks,"F.Ward,T.Otte",[],[]
